whiteCardId,deckId
000b433e-588a-42fc-9985-89c713b5e19f,96d9ae8b-2a10-4724-9e08-4ae2d4183077
005a33bb-04ca-4238-85c0-99781143e698,7ced2f7b-0fe8-4422-a068-f3f8582a8f7f
005a33bb-04ca-4238-85c0-99781143e698,b09d7dac-c133-485f-b59d-c8bfcaa7181b
005a33bb-04ca-4238-85c0-99781143e698,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
019aa000-9b3c-4ea7-8578-12b7cf613ecf,b09d7dac-c133-485f-b59d-c8bfcaa7181b
01c6b650-e594-477a-b2bc-7a761ea9a3a2,249708cf-a408-4111-a0f8-823eea93775c
01cbd528-6d20-4918-a0e9-2ad9f444eacb,92e1fb26-f74d-4e26-b35a-55df56dc1880
01d0ba56-d87f-4317-8423-d56e356e2a0a,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
01dcbc33-fb0b-4dec-b4b8-fa36fa5e70d7,61337ed7-f94e-4806-ba04-962eca86c793
01dcbc33-fb0b-4dec-b4b8-fa36fa5e70d7,7ced2f7b-0fe8-4422-a068-f3f8582a8f7f
01dcbc33-fb0b-4dec-b4b8-fa36fa5e70d7,b09d7dac-c133-485f-b59d-c8bfcaa7181b
01dcbc33-fb0b-4dec-b4b8-fa36fa5e70d7,bd04252a-c84c-4b44-b1c5-eb48097c48e8
01dcbc33-fb0b-4dec-b4b8-fa36fa5e70d7,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
0226228b-12ac-49ce-a851-871f1229c125,61337ed7-f94e-4806-ba04-962eca86c793
0226228b-12ac-49ce-a851-871f1229c125,7ced2f7b-0fe8-4422-a068-f3f8582a8f7f
0226228b-12ac-49ce-a851-871f1229c125,b09d7dac-c133-485f-b59d-c8bfcaa7181b
0226228b-12ac-49ce-a851-871f1229c125,bd04252a-c84c-4b44-b1c5-eb48097c48e8
0226228b-12ac-49ce-a851-871f1229c125,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
0237609c-7a43-47d1-be98-fab5126fe3de,96d9ae8b-2a10-4724-9e08-4ae2d4183077
02780fda-5ff7-4584-94f1-e02803550b49,539e2a77-d171-40f4-953d-5b299a274a70
02829005-246d-4b4f-bc56-3ff63c5248d5,96d9ae8b-2a10-4724-9e08-4ae2d4183077
02971a8c-ea13-4659-b0ef-dd284d331df6,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
029a3836-f326-49df-987a-25e20b5f20fb,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
02b8dfd0-8036-42e9-83b5-e24daeef5136,61337ed7-f94e-4806-ba04-962eca86c793
02b8dfd0-8036-42e9-83b5-e24daeef5136,7ced2f7b-0fe8-4422-a068-f3f8582a8f7f
02b8dfd0-8036-42e9-83b5-e24daeef5136,b09d7dac-c133-485f-b59d-c8bfcaa7181b
02b8dfd0-8036-42e9-83b5-e24daeef5136,bd04252a-c84c-4b44-b1c5-eb48097c48e8
02b8dfd0-8036-42e9-83b5-e24daeef5136,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
02efdf3d-be16-4ae6-8c15-8843c0553bbb,96d9ae8b-2a10-4724-9e08-4ae2d4183077
03143b53-dab0-4d9a-b355-8081cf7006c5,fe4c4c83-d199-4297-ae94-1e150244d3d6
03608a9d-c5ee-4593-8be0-a6f35564085e,61337ed7-f94e-4806-ba04-962eca86c793
03608a9d-c5ee-4593-8be0-a6f35564085e,7ced2f7b-0fe8-4422-a068-f3f8582a8f7f
03608a9d-c5ee-4593-8be0-a6f35564085e,b09d7dac-c133-485f-b59d-c8bfcaa7181b
03608a9d-c5ee-4593-8be0-a6f35564085e,bd04252a-c84c-4b44-b1c5-eb48097c48e8
03608a9d-c5ee-4593-8be0-a6f35564085e,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
0388df4a-502f-4ad9-8608-16577c78a861,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
0388df4a-502f-4ad9-8608-16577c78a861,f2a6fa58-5306-4d1d-9bf2-29985264f7c9
03937c01-e1ea-4adf-81fe-bc39547c84d5,bd04252a-c84c-4b44-b1c5-eb48097c48e8
03a0ac73-1ec7-4abf-9b70-f94d4b4b2f95,5f1d0abf-3250-41a0-9336-add23eb333cb
03a95a7c-d39d-443f-b6ec-8e5df2565088,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
03b024fa-e619-4842-858a-fe6e6d347362,61337ed7-f94e-4806-ba04-962eca86c793
03b024fa-e619-4842-858a-fe6e6d347362,7ced2f7b-0fe8-4422-a068-f3f8582a8f7f
03b024fa-e619-4842-858a-fe6e6d347362,b09d7dac-c133-485f-b59d-c8bfcaa7181b
03b024fa-e619-4842-858a-fe6e6d347362,bd04252a-c84c-4b44-b1c5-eb48097c48e8
03b024fa-e619-4842-858a-fe6e6d347362,ceee8cbc-e3f7-4096-abb2-f1c50e278ef6
03b024fa-e619-4842-858a-fe6e6d347362,fa330531-d175-452e-8c24-b895feec850e
042f2482-3ac5-4c16-804b-e21aeb0533df,9975567c-e40c-4a16-bf97-75d2df93f863
042f2482-3ac5-4c16-804b-e21aeb0533df,ad14e07f-490c-4dc3-b10f-021d37ddb2da
04b1eb09-acbc-4de3-bf67-f07ba75f2619,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
04d13261-8810-4fa3-a020-1cbac9e3630e,61337ed7-f94e-4806-ba04-962eca86c793
0506544b-3d37-49dc-a701-cc40d6a6c190,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
05084bbc-cd92-45b7-a557-437a78a52fe9,e6a4400d-0ef0-4dda-bf2a-0a884791a06d
05118c9c-00fa-489e-ab6e-43830b2d9b08,e4c1ed0c-e4d8-4d49-b951-e44ab66bb515
0547f501-5958-4d22-bcc9-984d48e49b80,96d9ae8b-2a10-4724-9e08-4ae2d4183077
